Zero no Tsukaima: Princesses no Rondo,7,rwenmax
Acchi Kocchi,6,rwenmax
Ao Haru Ride,6,rwenmax
B Gata H Kei,6,rwenmax
Baka to Test to Shoukanjuu,6,rwenmax
Black Bullet,6,rwenmax
Boku no Hero Academia,6,rwenmax
Bungaku Shoujo,6,rwenmax
Bungaku Shoujo: Memoire,6,rwenmax
Busou Shoujo Machiavellianism,6,rwenmax
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,6,rwenmax
Chuunibyou demo Koi ga Shitai! Ren,6,rwenmax
Classroom☆Crisis,6,rwenmax
Daitoshokan no Hitsujikai,6,rwenmax
Date A Live II,6,rwenmax
Denpa Onna to Seishun Otoko,6,rwenmax
Gakuen Mokushiroku: HIGHSCHOOL OF THE DEAD,6,rwenmax
Gakusen Toshi Asterisk,6,rwenmax
Gamers!,6,rwenmax
Gekkan Shoujo Nozaki-kun,6,rwenmax
"Hachi-nan tte, Sore wa Nai deshou!",6,rwenmax
Hagure Yuusha no Estetica,6,rwenmax
Hai to Gensou no Grimgar,6,rwenmax
Hyouka,6,rwenmax
Hyouken no Majutsushi ga Sekai wo Suberu,6,rwenmax
Inu x Boku SS,6,rwenmax
Jitsu wa Watashi wa,6,rwenmax
Kamisama Kazoku,6,rwenmax
Kimi no Iru Machi,6,rwenmax
